time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.937,1.053,0.617,0.572,-41.717,0.841,41.727,0.845,270.833,0.783
18.332,0.176,17.888,0.163,0.012,0.11,0.014,3.253,0.987,0.09,0.008,42.88,1.045,0.77,0.56,-41.75,0.854,41.757,0.858,271.043,0.762
36.667,0.353,35.78,0.23,0.014,0.157,0.017,2.183,0.372,0.153,0.012,42.857,1.033,0.827,0.572,-41.737,0.854,41.747,0.859,271.117,0.773
54.998,0.529,53.668,0.267,0.012,0.193,0.019,2.18,0.481,0.177,0.031,42.843,1.026,0.867,0.587,-41.727,0.867,41.737,0.872,271.17,0.796
73.334,0.706,71.559,0.3,0.008,0.213,0.019,3.05,0.767,0.207,0.031,42.837,1.018,0.887,0.593,-41.707,0.884,41.72,0.893,271.207,0.807
91.665,0.882,89.447,0.32,0.008,0.23,0.022,2.453,0.467,0.23,0.036,42.84,1.014,0.907,0.601,-41.693,0.889,41.707,0.894,271.227,0.815
110.0,1.059,107.339,0.337,0.012,0.243,0.019,2.503,0.151,0.237,0.039,42.843,1.014,0.923,0.605,-41.687,0.897,41.7,0.906,271.253,0.82
128.332,1.235,125.227,0.35,0.008,0.25,0.022,2.603,0.234,0.26,0.037,42.847,1.01,0.937,0.607,-41.683,0.909,41.697,0.918,271.267,0.822
146.667,1.412,143.118,0.36,0.008,0.263,0.019,2.5,0.563,0.26,0.036,42.847,1.01,0.943,0.612,-41.667,0.921,41.683,0.93,271.283,0.826
164.998,1.588,161.006,0.37,0.014,0.27,0.022,2.29,0.414,0.277,0.054,42.853,1.006,0.95,0.61,-41.64,0.918,41.657,0.927,271.287,0.83
183.334,1.765,178.898,0.383,0.017,0.28,0.022,2.597,0.243,0.293,0.05,42.857,1.007,0.96,0.617,-41.643,0.934,41.657,0.942,271.307,0.836
201.665,1.941,196.786,0.39,0.022,0.283,0.021,2.283,0.425,0.31,0.037,42.86,1.003,0.96,0.617,-41.62,0.938,41.637,0.947,271.31,0.839
220.0,2.118,214.677,0.397,0.021,0.29,0.024,2.767,0.416,0.31,0.037,42.86,1.003,0.967,0.615,-41.613,0.942,41.63,0.951,271.317,0.837
238.332,2.294,232.565,0.41,0.045,0.303,0.042,2.377,0.667,0.323,0.068,42.857,0.987,0.973,0.606,-41.59,0.954,41.607,0.963,271.327,0.823
256.667,2.471,250.457,0.417,0.049,0.31,0.037,2.247,0.041,0.327,0.052,42.863,0.992,0.973,0.614,-41.577,0.959,41.593,0.968,271.327,0.831
274.998,2.647,268.345,0.437,0.062,0.323,0.05,2.277,0.189,0.347,0.074,42.853,0.972,0.987,0.602,-41.557,0.955,41.57,0.964,271.34,0.82
