time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.413,1.006,-1.767,0.626,-39.223,0.413,39.267,0.394,267.417,0.93
15.001,0.42,31.519,0.187,0.031,0.143,0.034,1.23,0.357,0.163,0.017,44.34,0.998,-1.607,0.619,-39.17,0.405,39.207,0.387,267.647,0.917
30.001,0.84,63.034,0.277,0.045,0.21,0.043,1.627,0.28,0.24,0.024,44.32,0.987,-1.55,0.611,-39.1,0.4,39.137,0.382,267.723,0.915
45.001,1.26,94.55,0.34,0.033,0.243,0.042,2.29,0.967,0.293,0.024,44.323,0.995,-1.527,0.622,-39.023,0.398,39.057,0.384,267.75,0.93
60.001,1.68,126.066,0.39,0.036,0.267,0.041,2.093,0.984,0.323,0.025,44.323,0.994,-1.527,0.636,-38.95,0.406,38.987,0.387,267.743,0.947
75.001,2.1,157.582,0.427,0.04,0.277,0.041,1.313,0.528,0.357,0.025,44.337,0.995,-1.53,0.638,-38.897,0.411,38.93,0.395,267.74,0.957
90.001,2.52,189.097,0.477,0.048,0.297,0.041,1.393,0.45,0.373,0.029,44.347,0.994,-1.537,0.641,-38.837,0.405,38.873,0.384,267.73,0.961
105.001,2.94,220.613,0.52,0.054,0.303,0.037,1.787,0.667,0.39,0.024,44.37,0.996,-1.547,0.647,-38.777,0.407,38.813,0.394,267.71,0.974
120.001,3.36,252.129,0.57,0.065,0.317,0.033,2.393,0.732,0.417,0.029,44.383,0.998,-1.557,0.654,-38.713,0.405,38.753,0.388,267.69,0.98
135.001,3.78,283.645,0.62,0.078,0.327,0.025,2.31,0.483,0.43,0.024,44.397,0.999,-1.573,0.651,-38.657,0.409,38.693,0.388,267.663,0.984
150.001,4.2,315.16,0.67,0.091,0.34,0.024,2.373,0.098,0.443,0.029,44.413,0.997,-1.583,0.657,-38.597,0.405,38.637,0.387,267.64,0.992
165.001,4.62,346.676,0.713,0.095,0.343,0.012,1.947,0.284,0.463,0.025,44.43,0.995,-1.6,0.656,-38.547,0.405,38.583,0.384,267.61,0.993
180.001,5.04,378.192,0.753,0.087,0.353,0.012,1.66,0.496,0.48,0.033,44.447,0.992,-1.613,0.651,-38.5,0.404,38.537,0.383,267.59,0.987
195.001,5.46,409.708,0.803,0.087,0.363,0.005,1.96,0.349,0.487,0.026,44.467,0.992,-1.63,0.649,-38.45,0.41,38.49,0.384,267.563,0.985
210.001,5.88,441.223,0.853,0.095,0.377,0.005,2.317,0.083,0.497,0.029,44.483,0.997,-1.65,0.649,-38.393,0.405,38.433,0.388,267.533,0.985
225.001,6.3,472.739,0.897,0.1,0.38,0.008,1.947,0.529,0.503,0.024,44.503,0.997,-1.66,0.649,-38.353,0.413,38.39,0.392,267.51,0.988
