time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.21,4.865,-10.203,1.919,-29.807,4.218,31.62,3.765,250.737,4.949
15.001,0.42,31.518,0.997,0.097,0.463,0.07,1.89,0.372,0.347,0.026,43.467,4.842,-10.487,1.822,-28.89,4.235,30.85,3.769,249.663,4.958
30.001,0.84,63.034,1.7,0.159,0.787,0.103,2.657,1.002,0.58,0.043,43.627,4.823,-10.657,1.692,-28.233,4.207,30.283,3.746,248.923,4.85
45.001,1.26,94.549,2.28,0.219,1.053,0.138,2.38,0.524,0.75,0.071,43.763,4.801,-10.783,1.591,-27.693,4.182,29.82,3.728,248.32,4.758
60.001,1.68,126.065,2.753,0.239,1.27,0.144,1.977,0.548,0.893,0.08,43.867,4.823,-10.87,1.544,-27.243,4.173,29.43,3.722,247.843,4.738
75.001,2.1,157.581,3.163,0.258,1.463,0.144,1.937,0.128,1.03,0.092,43.96,4.846,-10.94,1.499,-26.847,4.163,29.093,3.714,247.413,4.723
90.001,2.52,189.097,3.533,0.27,1.64,0.156,2.897,0.478,1.143,0.095,44.047,4.853,-11.003,1.457,-26.5,4.16,28.787,3.711,247.02,4.715
105.001,2.94,220.612,3.86,0.281,1.8,0.159,2.807,1.025,1.227,0.109,44.12,4.859,-11.053,1.433,-26.18,4.159,28.517,3.712,246.68,4.723
120.001,3.36,252.128,4.16,0.287,1.943,0.167,3.057,0.534,1.323,0.125,44.193,4.868,-11.097,1.399,-25.9,4.152,28.27,3.702,246.37,4.725
135.001,3.78,283.644,4.447,0.292,2.083,0.172,2.773,0.144,1.407,0.122,44.253,4.874,-11.137,1.375,-25.62,4.158,28.033,3.707,246.063,4.729
150.001,4.2,315.16,4.7,0.293,2.213,0.18,2.977,0.622,1.477,0.133,44.323,4.879,-11.173,1.349,-25.377,4.154,27.823,3.707,245.787,4.738
165.001,4.62,346.675,4.94,0.301,2.34,0.192,3.133,0.384,1.543,0.143,44.4,4.87,-11.207,1.321,-25.15,4.151,27.633,3.699,245.523,4.738
180.001,5.04,378.191,5.18,0.301,2.46,0.205,3.07,0.385,1.607,0.146,44.463,4.874,-11.237,1.3,-24.927,4.153,27.437,3.697,245.267,4.751
195.001,5.46,409.707,5.403,0.304,2.573,0.213,3.027,0.289,1.67,0.15,44.517,4.88,-11.26,1.278,-24.71,4.158,27.25,3.702,245.03,4.767
210.001,5.88,441.223,5.607,0.321,2.677,0.221,3.313,0.132,1.723,0.161,44.567,4.862,-11.283,1.255,-24.513,4.155,27.083,3.699,244.807,4.768
225.001,6.3,472.738,5.81,0.33,2.783,0.233,3.99,0.985,1.783,0.167,44.623,4.861,-11.303,1.234,-24.323,4.147,26.917,3.69,244.58,4.775
240.001,6.72,504.254,6.0,0.338,2.887,0.237,3.597,0.482,1.827,0.162,44.68,4.871,-11.32,1.219,-24.137,4.151,26.757,3.691,244.377,4.775
255.001,7.14,535.77,6.187,0.343,2.983,0.241,3.573,0.46,1.873,0.167,44.733,4.872,-11.333,1.197,-23.96,4.149,26.6,3.689,244.177,4.775
270.001,7.56,567.286,6.37,0.344,3.077,0.25,3.237,0.482,1.93,0.171,44.783,4.872,-11.357,1.175,-23.787,4.144,26.453,3.685,243.973,4.783
285.001,7.98,598.802,6.54,0.351,3.173,0.254,4.37,0.886,1.957,0.178,44.847,4.875,-11.367,1.162,-23.627,4.143,26.313,3.679,243.793,4.788
300.001,8.4,630.317,6.7,0.358,3.26,0.258,3.747,0.261,2.007,0.189,44.893,4.872,-11.38,1.149,-23.473,4.138,26.18,3.681,243.617,4.791
315.001,8.82,661.834,6.863,0.36,3.347,0.262,3.867,0.76,2.037,0.186,44.94,4.876,-11.39,1.136,-23.32,4.133,26.043,3.679,243.447,4.8
330.001,9.24,693.349,7.017,0.363,3.43,0.271,3.577,0.44,2.08,0.193,44.99,4.884,-11.397,1.118,-23.17,4.133,25.92,3.675,243.277,4.805
345.001,9.66,724.865,7.173,0.367,3.52,0.279,4.023,0.11,2.11,0.185,45.04,4.892,-11.41,1.101,-23.03,4.133,25.793,3.672,243.103,4.814
360.001,10.08,756.381,7.32,0.372,3.597,0.283,4.2,0.918,2.153,0.191,45.09,4.89,-11.42,1.097,-22.887,4.135,25.673,3.673,242.947,4.829
375.001,10.5,787.897,7.46,0.372,3.677,0.283,4.253,0.426,2.197,0.197,45.137,4.894,-11.43,1.087,-22.753,4.137,25.56,3.675,242.783,4.836
390.001,10.92,819.413,7.59,0.372,3.75,0.292,3.943,0.26,2.22,0.193,45.177,4.897,-11.433,1.07,-22.63,4.132,25.443,3.665,242.647,4.846
405.001,11.34,850.928,7.727,0.37,3.827,0.296,4.233,0.258,2.25,0.198,45.23,4.898,-11.437,1.062,-22.5,4.139,25.337,3.67,242.497,4.861
420.001,11.76,882.444,7.857,0.378,3.903,0.301,3.72,0.377,2.28,0.206,45.27,4.903,-11.447,1.049,-22.38,4.138,25.23,3.668,242.353,4.864
435.001,12.18,913.96,7.99,0.373,3.977,0.309,3.937,0.745,2.31,0.208,45.31,4.898,-11.447,1.036,-22.253,4.136,25.12,3.667,242.213,4.883
450.001,12.6,945.476,8.113,0.383,4.043,0.314,4.777,0.991,2.333,0.204,45.357,4.91,-11.45,1.028,-22.14,4.131,25.02,3.668,242.073,4.886
465.001,13.02,976.991,8.237,0.378,4.113,0.322,3.667,0.446,2.367,0.211,45.393,4.907,-11.453,1.015,-22.017,4.14,24.913,3.665,241.933,4.897
480.001,13.44,1008.507,8.357,0.384,4.183,0.322,3.74,0.598,2.393,0.215,45.437,4.908,-11.457,1.006,-21.903,4.136,24.813,3.665,241.8,4.897
495.001,13.86,1040.023,8.477,0.391,4.253,0.322,4.483,0.408,2.42,0.206,45.48,4.911,-11.463,0.989,-21.79,4.124,24.717,3.656,241.667,4.896
510.001,14.28,1071.539,8.597,0.391,4.32,0.326,4.397,0.535,2.453,0.209,45.513,4.912,-11.467,0.981,-21.68,4.124,24.62,3.653,241.53,4.916
525.001,14.7,1103.054,8.71,0.393,4.383,0.327,3.88,0.263,2.483,0.213,45.557,4.916,-11.47,0.976,-21.577,4.118,24.53,3.646,241.403,4.912
540.001,15.12,1134.57,8.813,0.402,4.447,0.331,4.18,0.364,2.503,0.207,45.603,4.928,-11.473,0.964,-21.48,4.115,24.447,3.642,241.293,4.915
555.001,15.54,1166.086,8.933,0.395,4.513,0.335,4.28,0.563,2.53,0.214,45.633,4.926,-11.477,0.96,-21.363,4.121,24.343,3.651,241.153,4.936
570.001,15.96,1197.602,9.033,0.395,4.57,0.34,4.777,0.604,2.55,0.224,45.673,4.926,-11.473,0.947,-21.27,4.123,24.26,3.646,241.043,4.952
585.001,16.38,1229.117,9.14,0.4,4.637,0.344,4.82,0.912,2.583,0.225,45.71,4.922,-11.473,0.943,-21.17,4.123,24.173,3.651,240.92,4.96
