time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.81,1.148,-8.913,0.196,-35.243,1.002,36.353,0.921,255.787,0.678
51.639,0.5,50.683,1.279,0.087,0.454,0.035,5.017,1.831,0.977,0.032,47.962,1.118,-9.362,0.084,-34.056,0.966,35.321,0.909,254.613,0.545
103.278,1.0,101.367,2.131,0.119,0.765,0.043,4.973,0.854,1.544,0.044,48.094,1.121,-9.615,0.042,-33.259,0.957,34.618,0.906,253.861,0.505
154.917,1.5,152.05,2.805,0.118,1.029,0.044,6.191,1.948,1.965,0.057,48.225,1.112,-9.798,0.016,-32.619,0.959,34.061,0.914,253.268,0.485
206.556,2.0,202.734,3.36,0.122,1.249,0.04,6.385,1.052,2.264,0.057,48.34,1.113,-9.932,0.019,-32.09,0.962,33.594,0.926,252.791,0.463
258.195,2.5,253.417,3.845,0.122,1.442,0.041,6.92,0.934,2.564,0.052,48.436,1.109,-10.04,0.044,-31.626,0.963,33.185,0.932,252.371,0.446
309.834,3.0,304.101,4.266,0.13,1.614,0.028,7.549,1.109,2.805,0.076,48.524,1.116,-10.132,0.048,-31.222,0.958,32.826,0.924,252.011,0.448
361.473,3.5,354.784,4.645,0.135,1.771,0.029,7.891,1.199,3.002,0.074,48.612,1.125,-10.209,0.055,-30.856,0.958,32.504,0.926,251.684,0.442
413.112,4.0,405.468,5.009,0.129,1.928,0.024,8.198,0.887,3.187,0.076,48.698,1.123,-10.278,0.068,-30.514,0.966,32.199,0.935,251.373,0.443
464.751,4.5,456.151,5.337,0.13,2.069,0.023,8.317,0.865,3.364,0.095,48.774,1.125,-10.334,0.08,-30.197,0.971,31.915,0.947,251.093,0.437
516.39,5.0,506.835,5.657,0.129,2.205,0.021,9.426,1.768,3.532,0.072,48.849,1.129,-10.39,0.095,-29.888,0.971,31.642,0.946,250.817,0.432
568.029,5.5,557.518,5.954,0.133,2.338,0.02,8.698,0.342,3.669,0.097,48.922,1.126,-10.437,0.104,-29.605,0.977,31.394,0.952,250.571,0.426
619.668,6.0,608.202,6.232,0.122,2.462,0.017,9.253,0.42,3.817,0.087,48.992,1.129,-10.484,0.111,-29.334,0.982,31.15,0.962,250.322,0.431
671.307,6.5,658.885,6.504,0.113,2.589,0.012,9.563,1.098,3.931,0.082,49.069,1.122,-10.521,0.122,-29.072,0.985,30.916,0.967,250.094,0.426
722.946,7.0,709.569,6.757,0.107,2.703,0.016,9.807,1.335,4.038,0.089,49.134,1.125,-10.565,0.132,-28.832,0.997,30.708,0.976,249.869,0.424
774.585,7.5,760.252,7.004,0.112,2.818,0.019,10.207,1.212,4.167,0.093,49.2,1.127,-10.598,0.141,-28.595,0.998,30.501,0.984,249.655,0.421
826.224,8.0,810.936,7.232,0.108,2.922,0.026,10.782,1.675,4.276,0.099,49.261,1.13,-10.625,0.148,-28.378,1.008,30.3,0.993,249.456,0.421
877.864,8.5,861.619,7.453,0.11,3.029,0.031,10.079,0.324,4.358,0.109,49.328,1.131,-10.657,0.159,-28.164,1.013,30.115,0.999,249.263,0.423
929.503,9.0,912.303,7.671,0.113,3.132,0.038,11.373,1.552,4.474,0.107,49.386,1.134,-10.688,0.166,-27.957,1.015,29.931,1.003,249.063,0.42
981.142,9.5,962.986,7.879,0.11,3.239,0.042,11.153,1.147,4.574,0.117,49.45,1.138,-10.716,0.171,-27.754,1.021,29.751,1.016,248.881,0.42
1032.781,10.0,1013.67,8.087,0.108,3.338,0.045,10.998,1.232,4.633,0.1,49.517,1.135,-10.738,0.18,-27.559,1.03,29.575,1.019,248.701,0.419
