time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.81,1.148,-8.913,0.196,-35.243,1.002,36.353,0.921,255.787,0.678
18.332,0.178,18.008,0.543,0.025,0.187,0.009,3.26,1.367,0.453,0.046,47.857,1.127,-9.113,0.156,-34.743,1.036,35.923,0.963,255.283,0.657
36.667,0.355,36.018,0.97,0.042,0.343,0.012,4.593,2.282,0.773,0.052,47.917,1.119,-9.26,0.136,-34.343,1.068,35.57,0.994,254.893,0.653
54.999,0.533,54.025,1.34,0.057,0.477,0.021,4.707,1.806,1.02,0.065,47.97,1.115,-9.377,0.125,-33.997,1.089,35.27,1.019,254.56,0.662
73.334,0.711,72.036,1.663,0.074,0.593,0.025,5.553,0.951,1.24,0.088,48.02,1.115,-9.473,0.113,-33.69,1.11,35.0,1.035,254.27,0.667
91.665,0.888,90.043,1.953,0.082,0.7,0.028,4.723,0.981,1.44,0.091,48.063,1.119,-9.56,0.102,-33.423,1.117,34.763,1.047,254.02,0.664
110.001,1.066,108.054,2.21,0.1,0.8,0.036,5.073,0.521,1.603,0.113,48.117,1.119,-9.63,0.1,-33.177,1.143,34.547,1.068,253.79,0.674
128.332,1.244,126.061,2.473,0.116,0.9,0.051,5.343,0.504,1.767,0.133,48.16,1.107,-9.703,0.094,-32.933,1.153,34.333,1.081,253.56,0.679
146.667,1.421,144.071,2.7,0.128,0.99,0.051,6.667,2.52,1.91,0.14,48.21,1.111,-9.763,0.087,-32.717,1.165,34.15,1.098,253.363,0.683
164.999,1.599,162.078,2.91,0.142,1.07,0.057,6.307,1.715,2.02,0.158,48.25,1.107,-9.817,0.083,-32.517,1.179,33.97,1.111,253.177,0.685
183.334,1.777,180.089,3.113,0.151,1.153,0.066,6.31,1.521,2.123,0.14,48.287,1.11,-9.863,0.082,-32.327,1.195,33.797,1.123,253.013,0.694
201.665,1.954,198.096,3.297,0.16,1.227,0.069,5.547,0.701,2.227,0.144,48.33,1.111,-9.907,0.074,-32.143,1.203,33.64,1.136,252.847,0.688
