time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83,1.383,-8.33,0.908,-33.16,0.439,34.21,0.198,255.9,1.66
15.001,0.42,31.519,0.497,0.103,0.31,0.086,1.257,0.379,0.26,0.043,44.687,1.476,-7.993,0.98,-32.863,0.524,33.837,0.277,256.323,1.826
30.001,0.84,63.034,0.783,0.155,0.47,0.124,1.58,0.315,0.4,0.065,44.63,1.538,-7.833,1.021,-32.643,0.594,33.587,0.351,256.487,1.932
45.001,1.26,94.55,1.007,0.176,0.587,0.143,1.38,0.383,0.5,0.071,44.59,1.575,-7.737,1.053,-32.453,0.638,33.383,0.392,256.58,2.01
60.001,1.68,126.066,1.18,0.219,0.67,0.153,1.493,0.326,0.573,0.09,44.59,1.604,-7.673,1.07,-32.273,0.661,33.197,0.421,256.603,2.055
75.001,2.1,157.582,1.33,0.246,0.737,0.168,2.02,0.564,0.647,0.101,44.59,1.63,-7.627,1.082,-32.127,0.683,33.04,0.443,256.62,2.095
90.001,2.52,189.097,1.46,0.271,0.787,0.167,2.15,0.948,0.703,0.111,44.6,1.646,-7.597,1.089,-31.983,0.702,32.893,0.46,256.623,2.118
105.001,2.94,220.613,1.587,0.287,0.84,0.164,2.1,0.561,0.743,0.104,44.61,1.656,-7.567,1.095,-31.847,0.717,32.757,0.469,256.6,2.143
120.001,3.36,252.129,1.703,0.306,0.883,0.168,2.64,0.222,0.78,0.099,44.623,1.667,-7.547,1.103,-31.727,0.728,32.633,0.486,256.59,2.165
135.001,3.78,283.645,1.803,0.324,0.92,0.163,2.323,0.103,0.823,0.099,44.64,1.671,-7.537,1.103,-31.61,0.74,32.52,0.495,256.567,2.184
150.001,4.2,315.16,1.91,0.335,0.957,0.158,2.167,0.486,0.85,0.108,44.657,1.684,-7.517,1.109,-31.493,0.752,32.407,0.504,256.547,2.204
165.001,4.62,346.676,2.01,0.348,0.987,0.158,1.723,0.384,0.88,0.107,44.677,1.686,-7.51,1.107,-31.39,0.759,32.297,0.512,256.523,2.216
180.001,5.04,378.192,2.097,0.366,1.023,0.154,2.403,0.549,0.917,0.11,44.69,1.697,-7.497,1.116,-31.297,0.775,32.203,0.526,256.497,2.24
195.001,5.46,409.708,2.187,0.373,1.053,0.155,2.493,0.617,0.957,0.102,44.707,1.696,-7.493,1.119,-31.197,0.775,32.11,0.529,256.47,2.249
210.001,5.88,441.223,2.27,0.375,1.08,0.151,2.173,0.392,0.977,0.117,44.727,1.71,-7.483,1.119,-31.107,0.775,32.017,0.53,256.443,2.258
225.001,6.3,472.739,2.357,0.387,1.113,0.15,2.037,0.196,0.993,0.113,44.743,1.714,-7.48,1.121,-31.013,0.783,31.93,0.535,256.417,2.268
240.001,6.72,504.255,2.42,0.417,1.157,0.131,2.78,0.744,1.027,0.102,44.733,1.707,-7.437,1.149,-30.973,0.842,31.88,0.588,256.47,2.341
