wavelength_nm,00:00:00.000,00:00:21.492,00:00:41.758,00:01:01.618,00:01:21.509,00:01:41.387,00:02:01.676,00:02:21.554,00:02:41.454,00:03:01.741,00:03:21.611,00:03:41.481,00:04:01.759,00:04:21.627,00:04:41.504,00:05:01.783,00:05:21.646,00:05:41.522,00:06:01.457,00:06:21.730,00:06:41.601,00:07:01.494,00:07:21.765,00:07:41.633,00:08:01.511,00:08:21.438,00:08:41.718,00:09:01.581,00:09:21.452,00:09:41.715,00:10:01.579,00:10:21.453,00:10:41.723,00:11:01.585,00:11:21.460,00:11:41.733,00:12:01.605,00:12:21.475,00:12:41.739,00:13:01.607,00:13:21.490,00:13:41.765,00:14:01.646,00:14:21.504,00:14:41.760,00:15:01.641,00:15:21.501,00:15:41.760,00:16:01.616,00:16:21.498,00:16:41.764,00:17:01.631,00:17:21.498,00:17:41.773,00:18:01.623,00:18:21.482,00:18:41.741,00:19:01.598,00:19:21.460,00:19:41.72
305,63.5,63.4,63.25,65.6,63.94,62.21,59.34,59.25,60.6,62.25,59.6,58.92,63.26,62.68,62.11,61.27,65.78,56.43,60.25,59.52,62.74,60.08,56.02,62.38,59.39,60.08,60.06,59.79,61.44,61.11,60.79,58.77,59.59,60.51,58.85,59.34,58.71,59.66,58.75,57.24,60.7,54.78,58.37,57.44,58.5,54.0,56.98,59.86,54.09,57.47,55.76,55.3,57.73,56.89,56.08,56.85,53.62,53.34,58.63,53.9
306,62.5,62.84,61.76,65.25,63.09,61.15,59.57,60.41,59.9,61.55,59.69,58.36,62.27,63.27,60.98,60.21,64.06,56.45,58.98,58.89,60.89,60.16,55.76,61.1,58.83,58.52,59.14,59.02,59.02,60.77,59.22,57.79,57.54,60.23,58.58,59.57,58.01,58.96,58.41,57.33,60.07,54.8,57.6,57.17,57.66,53.81,57.72,59.3,53.47,57.06,54.5,52.89,57.18,56.41,55.53,57.66,53.0,54.01,58.86,52.5
307,61.48,62.2,60.42,64.73,62.06,60.09,59.65,61.18,59.23,60.84,59.71,57.78,61.21,63.55,59.88,59.14,62.36,56.45,57.79,58.25,59.07,60.07,55.5,59.81,58.18,57.15,58.2,58.32,56.85,60.14,57.74,56.77,55.73,59.83,58.17,59.42,57.23,58.1,57.92,57.34,59.23,54.76,56.7,56.78,56.89,53.57,58.4,58.59,52.93,56.54,53.37,50.79,56.39,55.81,54.95,58.11,52.34,54.42,58.78,51.21
308,60.27,61.13,60.06,63.22,59.94,59.03,58.8,59.49,58.73,60.13,59.36,57.02,59.8,62.05,59.04,58.02,60.73,56.33,57.1,57.48,57.47,58.87,55.32,58.48,56.93,56.95,57.09,58.12,56.16,57.76,56.7,55.53,55.47,58.64,56.85,56.98,55.92,56.3,56.54,56.79,57.07,54.3,54.98,55.61,56.56,52.98,58.75,56.92,52.83,55.38,53.06,50.58,54.11,54.44,54.14,56.38,51.42,53.2,56.76,50.57
309,59.07,60.06,59.69,61.71,57.83,57.98,57.96,57.8,58.24,59.41,59.0,56.26,58.39,60.55,58.19,56.9,59.1,56.21,56.41,56.72,55.86,57.68,55.13,57.15,55.68,56.75,55.98,57.91,55.48,55.39,55.66,54.29,55.22,57.45,55.53,54.55,54.61,54.49,55.15,56.24,54.91,53.85,53.26,54.44,56.22,52.39,59.09,55.25,52.74,54.21,52.76,50.36,51.84,53.07,53.34,54.64,50.5,51.98,54.74,49.94
310,57.86,58.98,59.33,60.2,55.72,56.92,57.11,56.11,57.74,58.7,58.64,55.5,56.98,59.05,57.34,55.79,57.47,56.08,55.72,55.96,54.26,56.48,54.95,55.82,54.43,56.55,54.87,57.7,54.8,53.01,54.63,53.06,54.96,56.25,54.22,52.11,53.3,52.69,53.77,55.69,52.75,53.39,51.53,53.28,55.89,51.81,59.44,53.59,52.65,53.05,52.45,50.15,49.56,51.71,52.53,52.91,49.58,50.77,52.73,49.3
311,57.2,58.35,58.87,57.81,55.37,56.15,56.2,55.47,56.89,57.58,57.94,54.76,56.45,57.44,56.49,54.63,57.4,55.4,55.24,54.5,53.38,55.08,54.79,53.85,53.25,56.34,53.83,56.29,54.13,52.6,53.72,52.59,53.82,54.97,52.35,50.7,52.21,51.04,52.73,53.91,52.06,53.11,50.06,52.03,54.08,50.83,56.69,52.62,51.99,52.04,51.94,50.12,48.95,51.08,50.85,51.09,48.52,49.67,51.28,48.59
312,56.64,57.8,58.4,55.26,55.36,55.44,55.27,55.03,55.97,56.38,57.17,54.03,56.1,55.82,55.64,53.47,57.63,54.6,54.8,52.91,52.63,53.64,54.63,51.75,52.07,56.13,52.8,54.65,53.47,52.55,52.84,52.26,52.51,53.68,50.38,49.5,51.17,49.41,51.77,51.88,51.66,52.86,48.64,50.77,51.99,49.77,53.34,51.8,51.23,51.07,51.39,50.12,48.65,50.59,49.01,49.24,47.43,48.6,49.94,47.86
313,56.08,57.26,57.94,52.72,55.35,54.72,54.35,54.6,55.05,55.18,56.41,53.3,55.74,54.19,54.79,52.31,57.85,53.81,54.36,51.32,51.89,52.21,54.47,49.66,50.9,55.92,51.78,53.01,52.8,52.51,51.95,51.93,51.2,52.38,48.41,48.3,50.12,47.78,50.8,49.86,51.25,52.61,47.21,49.51,49.89,48.71,50.0,50.97,50.47,50.09,50.85,50.12,48.36,50.11,47.17,47.4,46.34,47.52,48.6,47.13
314,56.08,57.03,57.63,52.12,55.26,54.62,53.84,54.04,54.74,54.43,55.7,52.81,55.61,52.86,54.27,51.97,57.87,53.32,54.15,50.52,51.43,51.93,54.39,49.04,50.47,54.77,51.34,52.6,52.91,52.07,51.81,51.2,51.02,51.86,48.13,48.63,49.8,47.34,50.43,49.16,50.95,52.11,46.68,49.16,49.51,48.41,48.07,50.63,49.39,49.95,50.4,50.04,48.57,49.8,45.94,46.41,46.31,45.92,48.48,46.72
315,56.56,57.09,57.47,53.18,55.1,55.03,53.68,53.39,54.94,54.06,55.04,52.52,55.67,51.78,54.05,52.32,57.7,53.1,54.14,50.37,51.21,52.64,54.37,49.69,50.68,52.83,51.41,53.23,53.69,51.28,52.31,50.13,51.8,51.99,49.27,50.28,50.08,47.92,50.57,49.59,50.73,51.39,46.9,49.59,50.58,48.78,47.36,50.7,48.03,50.52,50.04,49.9,49.21,49.66,45.24,46.13,47.18,43.86,49.42,46.59
