time_s,energy_J,cum_MJ/m2,cum_klux_hr,dE76,dE00,dR,dR_VIS,L*,a*,b*,C*,h
0.0,0.0+/-0,0.0,0.0,0.0,0.0,0.0,0.0,81.04,7.4,90.95,91.25,85.35
21.492,0.16704+/-0.00017,0.558792,41.93036664,1.51,0.6,1.28,1.18,80.26,7.14,89.67,89.96,85.45
41.758,0.32454+/-0.00033,1.085708,81.4688372489,1.8,0.71,1.42,1.38,80.1,7.13,89.43,89.71,85.44
61.618,0.4789+/-0.0005,1.602068,120.215211782,1.98,0.79,1.51,1.5,80.01,7.14,89.27,89.56,85.43
81.509,0.6335+/-0.0007,2.119234,159.022066558,2.11,0.84,1.54,1.58,79.94,7.15,89.16,89.45,85.42
101.387,0.7880+/-0.0008,2.636062,197.803558651,2.19,0.88,1.62,1.64,79.88,7.15,89.1,89.39,85.41
121.676,0.9457+/-0.0010,3.163576,237.386901698,2.27,0.91,1.7,1.7,79.84,7.16,89.03,89.31,85.4
141.554,1.1002+/-0.0011,3.680404,276.168393791,2.33,0.94,1.66,1.73,79.8,7.16,88.99,89.28,85.4
161.454,1.2548+/-0.0013,4.197804,314.992807347,2.4,0.96,1.66,1.76,79.77,7.17,88.91,89.2,85.39
181.741,1.4125+/-0.0015,4.725266,354.572248442,2.44,0.98,1.72,1.81,79.74,7.18,88.89,89.18,85.38
201.611,1.5669+/-0.0016,5.241886,393.338132731,2.49,1.0,1.71,1.83,79.72,7.18,88.84,89.13,85.38
221.481,1.7214+/-0.0018,5.758506,432.10401702,2.53,1.02,1.77,1.85,79.7,7.18,88.82,89.11,85.38
241.759,1.8790+/-0.0019,6.285734,471.665899336,2.58,1.04,1.77,1.88,79.68,7.19,88.76,89.05,85.37
261.627,2.0334+/-0.0021,6.802302,510.427881673,2.61,1.05,1.79,1.9,79.66,7.19,88.74,89.03,85.37
281.504,2.1878+/-0.0023,7.319104,549.207422791,2.64,1.06,1.83,1.93,79.64,7.19,88.72,89.01,85.36
301.783,2.3455+/-0.0024,7.846358,588.771256082,2.67,1.08,1.83,1.95,79.62,7.2,88.69,88.99,85.36
321.646,2.4998+/-0.0026,8.362796,627.523483542,2.7,1.09,1.78,1.96,79.6,7.2,88.67,88.96,85.36
341.522,2.6543+/-0.0027,8.879572,666.301073684,2.72,1.1,1.9,1.98,79.59,7.21,88.65,88.94,85.35
361.457,2.8092+/-0.0029,9.397882,705.193771384,2.75,1.11,1.86,1.98,79.58,7.21,88.62,88.92,85.35
381.73,2.9668+/-0.0031,9.92498,744.745898822,2.77,1.12,1.95,2.01,79.56,7.21,88.61,88.9,85.35
401.601,3.1212+/-0.0032,10.441626,783.513734087,2.78,1.13,1.94,2.02,79.55,7.21,88.61,88.9,85.35
421.494,3.2759+/-0.0034,10.958844,822.324490813,2.8,1.14,1.96,2.04,79.54,7.21,88.59,88.88,85.34
441.765,3.4334+/-0.0035,11.48589,861.8727163,2.82,1.15,1.95,2.06,79.52,7.22,88.57,88.86,85.34
461.633,3.588+/-0.004,12.002458,900.634698638,2.86,1.16,2.0,2.08,79.51,7.22,88.54,88.83,85.34
481.511,3.742+/-0.004,12.519286,939.416190731,2.85,1.16,2.05,2.09,79.5,7.22,88.55,88.85,85.34
501.438,3.897+/-0.004,13.037388,978.293280627,2.88,1.17,2.03,2.09,79.49,7.22,88.53,88.82,85.33
521.718,4.055+/-0.004,13.564668,1017.85906489,2.93,1.18,2.05,2.1,79.48,7.23,88.48,88.77,85.33
541.581,4.209+/-0.004,14.081106,1056.61129235,2.93,1.19,2.04,2.11,79.47,7.23,88.47,88.77,85.33
561.452,4.364+/-0.004,14.597752,1095.37912762,2.95,1.2,1.99,2.13,79.46,7.23,88.47,88.76,85.33
581.715,4.521+/-0.005,15.12459,1134.9117453,2.97,1.21,2.03,2.15,79.45,7.23,88.45,88.74,85.32
601.579,4.675+/-0.005,15.641054,1173.66592374,2.99,1.21,2.02,2.15,79.44,7.24,88.43,88.73,85.32
621.453,4.830+/-0.005,16.157778,1212.43961193,3.0,1.22,2.09,2.17,79.42,7.24,88.42,88.72,85.32
641.723,4.987+/-0.005,16.684798,1251.98588644,3.01,1.23,2.1,2.19,79.41,7.24,88.41,88.71,85.32
661.585,5.142+/-0.005,17.20121,1290.73616292,3.03,1.24,2.12,2.2,79.4,7.24,88.4,88.7,85.32
681.46,5.296+/-0.005,17.71796,1329.51180209,3.05,1.24,2.18,2.21,79.39,7.25,88.39,88.68,85.31
701.733,5.454+/-0.006,18.245058,1369.06392953,3.05,1.25,2.13,2.22,79.38,7.25,88.39,88.69,85.31
721.605,5.608+/-0.006,18.76173,1407.83371577,3.05,1.26,2.25,2.24,79.37,7.25,88.39,88.69,85.31
741.475,5.763+/-0.006,19.27835,1446.59960006,3.08,1.27,2.2,2.25,79.36,7.25,88.36,88.66,85.31
761.739,5.920+/-0.006,19.805214,1486.13416871,3.09,1.27,2.2,2.25,79.35,7.26,88.36,88.66,85.31
781.607,6.075+/-0.006,20.321782,1524.89615105,3.13,1.28,2.22,2.26,79.34,7.26,88.32,88.62,85.3
801.49,6.229+/-0.006,20.83874,1563.68739802,3.12,1.29,2.25,2.28,79.33,7.26,88.33,88.63,85.3
821.765,6.387+/-0.007,21.36589,1603.24342741,3.15,1.29,2.27,2.29,79.33,7.26,88.31,88.6,85.3
841.646,6.541+/-0.007,21.882796,1642.03077243,3.15,1.3,2.33,2.3,79.31,7.26,88.31,88.61,85.3
861.504,6.696+/-0.007,22.399104,1680.77324501,3.16,1.31,2.3,2.31,79.31,7.27,88.3,88.6,85.3
881.76,6.853+/-0.007,22.92576,1720.29220587,3.2,1.32,2.31,2.32,79.3,7.27,88.26,88.56,85.29
901.641,7.008+/-0.007,23.442666,1759.07955089,3.2,1.32,2.38,2.32,79.29,7.27,88.26,88.56,85.29
921.501,7.162+/-0.007,23.959026,1797.82592542,3.22,1.33,2.33,2.35,79.28,7.27,88.24,88.54,85.29
941.76,7.319+/-0.008,24.48576,1837.3507392,3.24,1.33,2.28,2.34,79.27,7.27,88.23,88.53,85.29
961.616,7.474+/-0.008,25.002016,1876.08930983,3.24,1.34,2.46,2.37,79.27,7.27,88.23,88.53,85.29
981.498,7.628+/-0.008,25.518948,1914.87860583,3.27,1.35,2.41,2.36,79.26,7.28,88.21,88.51,85.28
1001.764,7.786+/-0.008,26.045864,1954.41707644,3.27,1.35,2.44,2.38,79.25,7.28,88.21,88.51,85.28
1021.631,7.940+/-0.008,26.562406,1993.1771078,3.27,1.36,2.48,2.4,79.24,7.28,88.21,88.51,85.28
1041.498,8.095+/-0.008,27.078948,2031.93713916,3.29,1.36,2.47,2.4,79.23,7.28,88.2,88.5,85.28
1061.773,8.252+/-0.008,27.606098,2071.49316855,3.32,1.37,2.51,2.41,79.23,7.28,88.16,88.46,85.28
1081.623,8.406+/-0.009,28.122198,2110.22003333,3.3,1.37,2.65,2.43,79.22,7.29,88.2,88.5,85.28
1101.482,8.561+/-0.009,28.638532,2148.96445688,3.35,1.38,2.42,2.42,79.21,7.29,88.14,88.44,85.27
1121.741,8.718+/-0.009,29.165266,2188.48927066,3.3,1.38,2.72,2.45,79.2,7.29,88.2,88.5,85.28
1141.598,8.872+/-0.009,29.681548,2227.22979227,3.33,1.39,2.68,2.45,79.19,7.29,88.17,88.47,85.27
1161.46,9.027+/-0.009,30.19796,2265.98006876,3.38,1.4,2.47,2.45,79.19,7.29,88.11,88.42,85.27
1181.72,9.184+/-0.009,30.72472,2305.50683351,3.38,1.4,2.67,2.48,79.18,7.29,88.13,88.43,85.27
